Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A2H_006_Line_Y_500m,MOD17A2H_006_Sample_X_500m,MOD17A2H_006_Gpp_500m,MOD17A2H_006_PsnNet_500m,MOD17A2H_006_Psn_QC_500m,MOD17A2H_006_Psn_QC_500m_bitmask,MOD17A2H_006_Psn_QC_500m_MODLAND,MOD17A2H_006_Psn_QC_500m_MODLAND_Description,MOD17A2H_006_Psn_QC_500m_Sensor,MOD17A2H_006_Psn_QC_500m_Sensor_Description,MOD17A2H_006_Psn_QC_500m_DeadDetector,MOD17A2H_006_Psn_QC_500m_DeadDetector_Description,MOD17A2H_006_Psn_QC_500m_CloudState,MOD17A2H_006_Psn_QC_500m_CloudState_Description,MOD17A2H_006_Psn_QC_500m_SCF_QC,MOD17A2H_006_Psn_QC_500m_SCF_QC_Description
Canada,N1969-A,68.00386667,-133.4736833,2008-12-26,h13v02,479.0,1.0,32767.0,32767.0,255.0,0b11111111,0b1,Other quality,0b1,Aqua,0b1,Dead detectors caused >50% adjacent detector retrieval,0b11,"Cloud state not defined, assumed clear",0b111,Fill Value
Canada,N1969-A,68.00386667,-133.4736833,2009-01-01,h13v02,479.0,1.0,32767.0,32767.0,255.0,0b11111111,0b1,Other quality,0b1,Aqua,0b1,Dead detectors caused >50% adjacent detector retrieval,0b11,"Cloud state not defined, assumed clear",0b111,Fill Value
Canada,N1969-A,68.00386667,-133.4736833,2009-01-09,h13v02,479.0,1.0,32767.0,32767.0,255.0,0b11111111,0b1,Other quality,0b1,Aqua,0b1,Dead detectors caused >50% adjacent detector retrieval,0b11,"Cloud state not defined, assumed clear",0b111,Fill Value
Canada,N1969-A,68.00386667,-133.4736833,2009-01-17,h13v02,479.0,1.0,32767.0,32767.0,255.0,0b11111111,0b1,Other quality,0b1,Aqua,0b1,Dead detectors caused >50% adjacent detector retrieval,0b11,"Cloud state not defined, assumed clear",0b111,Fill Value
Canada,N1969-A,68.00386667,-133.4736833,2009-01-25,h13v02,479.0,1.0,0.0,0.0,65.0,0b01000001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,Substandard due to geometry problems - use with caution
Canada,N1969-A,68.00386667,-133.4736833,2009-02-02,h13v02,479.0,1.0,0.0,0.0,65.0,0b01000001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,Substandard due to geometry problems - use with caution
Canada,N1969-A,68.00386667,-133.4736833,2009-02-10,h13v02,479.0,1.0,0.0,0.0,65.0,0b01000001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,Substandard due to geometry problems - use with caution
Canada,N1969-A,68.00386667,-133.4736833,2009-02-18,h13v02,479.0,1.0,0.0,0.0,73.0,0b01001001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,Substandard due to geometry problems - use with caution
Canada,N1969-A,68.00386667,-133.4736833,2009-02-26,h13v02,479.0,1.0,0.0,0.0,65.0,0b01000001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,Substandard due to geometry problems - use with caution
Canada,N1969-A,68.00386667,-133.4736833,2009-03-06,h13v02,479.0,1.0,0.0,0.0,65.0,0b01000001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,Substandard due to geometry problems - use with caution
